Source Code,Term Original,Value Set Name,Code System Name,Code System Version
58618005,Familial disease with storage of sterols (other than cholesterol),"Dyslipidemia, All",SNOMED CT US Edition,20250901
5963005,Subacute neuronopathic Gaucher's disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
60193003,Familial hypobetalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
61336008,Hypocholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
61663001,Juvenile neuronal ceroid lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
62009002,Adult neuronal ceroid lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
62201009,Chronic non-neuropathic Gaucher's disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
62440002,Infantile GM2 gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
63246000,Cholestanol storage disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
65419005,Sitosterolemia with xanthomatosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
65764006,Pseudo-Hurler polydystrophy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
66751000,"Niemann-Pick disease, type C","Dyslipidemia, All",SNOMED CT US Edition,20250901
67855008,"Niemann-Pick disease, type C, subacute form","Dyslipidemia, All",SNOMED CT US Edition,20250901
68390005,Sphingolipid activator protein 1 deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
699315005,Neutral lipid storage disease with myopathy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
700463002,Alpha-methylacyl-CoA racemase deficiency disorder,"Dyslipidemia, All",SNOMED CT US Edition,20250901
701000119103,Mixed hyperlipidemia due to type 2 diabetes mellitus,"Dyslipidemia, All",SNOMED CT US Edition,20250901
70199000,I-cell disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
702364003,Chylomicron retention disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
702365002,Combined malonic and methylmalonic aciduria,"Dyslipidemia, All",SNOMED CT US Edition,20250901
703526007,Neuronal ceroid lipofuscinosis 8,"Dyslipidemia, All",SNOMED CT US Edition,20250901
709490002,Desmosterolosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
71253000,"Tay-Sachs disease, variant AB","Dyslipidemia, All",SNOMED CT US Edition,20250901
715923003,Lysosomal acid lipase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
716721003,Genetic recurrent myoglobinuria,"Dyslipidemia, All",SNOMED CT US Edition,20250901
717047007,Bile acid CoA ligase deficiency and defective amidation,"Dyslipidemia, All",SNOMED CT US Edition,20250901
719257008,Lathosterolosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
719454003,Congenital bile acid synthesis defect type 3,"Dyslipidemia, All",SNOMED CT US Edition,20250901
720830009,Congenital neuronal ceroid lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
